N,TOTAL,date,student_id,CLASS_ID,cycle_id
1,100000,26/13/2023,510,20,5
2,100000,26/13/2023,511,20,5
3,100000,26/13/2023,512,20,5
4,100000,26/13/2023,513,20,5
5,100000,26/13/2023,514,20,5
6,100000,26/13/2023,515,20,5
7,100000,26/13/2023,516,20,5
8,100000,26/13/2023,517,20,5
9,100000,26/13/2023,654,20,5
10,100000,26/13/2023,643,20,5
11,100000,26/13/2023,645,20,5
12,100000,26/13/2023,658,20,5
13,100000,26/13/2023,660,20,5
14,100000,26/13/2023,518,20,5
15,100000,26/13/2023,655,20,5
16,100000,26/13/2023,519,20,5
17,100000,26/13/2023,521,20,5
18,100000,26/13/2023,520,20,5
19,100000,26/13/2023,522,20,5
20,100000,26/13/2023,523,20,5
21,100000,26/13/2023,524,20,5
22,100000,26/13/2023,525,20,5
23,100000,26/13/2023,526,20,5
24,100000,26/13/2023,527,20,5
25,100000,26/13/2023,528,20,5
26,100000,26/13/2023,656,20,5
27,100000,26/13/2023,529,20,5
28,100000,26/13/2023,530,20,5
29,100000,26/13/2023,531,20,5
30,100000,26/13/2023,532,20,5
31,100000,26/13/2023,533,20,5
32,100000,26/13/2023,534,20,5
33,100000,26/13/2023,535,20,5
34,100000,26/13/2023,536,20,5
35,100000,26/13/2023,659,20,5
36,100000,26/13/2023,657,20,5
37,100000,26/13/2023,537,20,5
38,100000,26/13/2023,538,20,5
39,100000,26/13/2023,539,20,5
40,100000,26/13/2023,540,20,5
41,100000,26/13/2023,541,20,5
42,100000,26/13/2023,542,20,5
43,100000,26/13/2023,543,20,5
44,100000,26/13/2023,544,20,5
45,100000,26/13/2023,545,20,5
46,100000,26/13/2023,509,21,5
47,100000,26/13/2023,504,21,5
48,100000,26/13/2023,505,21,5
49,100000,26/13/2023,506,21,5
50,100000,26/13/2023,507,21,5
51,100000,26/13/2023,508,21,5
52,100000,26/13/2023,546,22,5
53,100000,26/13/2023,547,22,5
54,100000,26/13/2023,548,22,5
55,100000,26/13/2023,549,22,5
56,100000,26/13/2023,550,22,5
57,100000,26/13/2023,551,22,5
58,100000,26/13/2023,552,22,5
59,100000,26/13/2023,553,22,5
60,100000,26/13/2023,554,22,5
61,100000,26/13/2023,555,22,5
62,100000,26/13/2023,556,22,5
63,100000,26/13/2023,557,22,5
64,100000,26/13/2023,558,22,5
65,100000,26/13/2023,559,22,5
66,100000,26/13/2023,560,22,5
67,100000,26/13/2023,561,22,5
68,100000,26/13/2023,661,22,5
69,100000,26/13/2023,562,22,5
70,100000,26/13/2023,563,22,5
71,100000,26/13/2023,564,22,5
72,100000,26/13/2023,565,22,5
73,100000,26/13/2023,566,22,5
74,100000,26/13/2023,567,22,5
75,100000,26/13/2023,568,22,5
76,100000,26/13/2023,569,22,5
77,100000,26/13/2023,570,22,5
78,100000,26/13/2023,571,22,5
79,100000,26/13/2023,572,22,5
80,100000,26/13/2023,573,22,5
81,100000,26/13/2023,574,22,5
82,100000,26/13/2023,575,22,5
83,100000,26/13/2023,576,22,5
84,100000,26/13/2023,577,22,5
85,100000,26/13/2023,578,22,5
86,100000,26/13/2023,579,22,5
87,100000,26/13/2023,580,22,5
88,100000,26/13/2023,581,22,5
89,100000,26/13/2023,582,22,5
90,100000,26/13/2023,583,22,5
91,100000,26/13/2023,584,22,5
92,100000,26/13/2023,585,22,5
93,100000,26/13/2023,586,22,5
94,100000,26/13/2023,587,22,5
95,100000,26/13/2023,588,22,5
96,100000,26/13/2023,589,22,5
97,100000,26/13/2023,590,22,5
98,100000,26/13/2023,591,22,5
99,100000,26/13/2023,592,22,5
100,100000,26/13/2023,593,22,5
101,100000,26/13/2023,594,22,5
102,100000,26/13/2023,595,22,5
103,100000,26/13/2023,596,22,5
104,100000,26/13/2023,597,22,5
105,100000,26/13/2023,598,22,5
106,100000,26/13/2023,662,22,5
107,100000,26/13/2023,599,22,5
108,100000,26/13/2023,600,22,5
109,100000,26/13/2023,492,23,5
110,100000,26/13/2023,493,23,5
111,100000,26/13/2023,494,23,5
112,100000,26/13/2023,495,23,5
113,100000,26/13/2023,496,23,5
114,100000,26/13/2023,497,23,5
115,100000,26/13/2023,498,23,5
116,100000,26/13/2023,499,23,5
117,100000,26/13/2023,500,23,5
118,100000,26/13/2023,664,23,5
119,100000,26/13/2023,448,24,5
120,100000,26/13/2023,445,24,5
121,100000,26/13/2023,446,24,5
122,100000,26/13/2023,447,24,5
123,100000,26/13/2023,601,25,5
124,100000,26/13/2023,602,25,5
125,100000,26/13/2023,603,25,5
126,100000,26/13/2023,604,25,5
127,100000,26/13/2023,605,25,5
128,100000,26/13/2023,606,25,5
129,100000,26/13/2023,607,25,5
130,100000,26/13/2023,608,25,5
131,100000,26/13/2023,609,25,5
132,100000,26/13/2023,610,25,5
133,100000,26/13/2023,611,25,5
134,100000,26/13/2023,612,25,5
135,100000,26/13/2023,613,25,5
136,100000,26/13/2023,614,25,5
137,100000,26/13/2023,615,25,5
138,100000,26/13/2023,616,25,5
139,100000,26/13/2023,617,25,5
140,100000,26/13/2023,618,25,5
141,100000,26/13/2023,449,26,5
142,100000,26/13/2023,450,26,5
143,100000,26/13/2023,451,26,5
144,100000,26/13/2023,452,26,5
145,100000,26/13/2023,453,26,5
146,100000,26/13/2023,454,26,5
147,100000,26/13/2023,455,26,5
148,100000,26/13/2023,456,26,5
149,100000,26/13/2023,457,26,5
150,100000,26/13/2023,458,26,5
151,100000,26/13/2023,459,26,5
152,100000,26/13/2023,460,26,5
153,100000,26/13/2023,640,26,5
154,100000,26/13/2023,642,26,5
155,100000,26/13/2023,461,26,5
156,100000,26/13/2023,462,26,5
157,100000,26/13/2023,463,26,5
158,100000,26/13/2023,464,26,5
159,100000,26/13/2023,465,26,5
160,100000,26/13/2023,467,26,5
161,100000,26/13/2023,466,26,5
162,100000,26/13/2023,468,26,5
163,100000,26/13/2023,469,26,5
164,100000,26/13/2023,470,26,5
165,100000,26/13/2023,471,26,5
166,100000,26/13/2023,472,26,5
167,100000,26/13/2023,473,26,5
168,100000,26/13/2023,474,26,5
169,100000,26/13/2023,475,26,5
170,100000,26/13/2023,476,26,5
171,100000,26/13/2023,477,26,5
172,100000,26/13/2023,641,26,5
173,100000,26/13/2023,478,26,5
